SN,Authors,Title,Year,Method
118,Thapa et al.,The endangered red panda in Himalayas: Potential distribution and ecological habitat associates,2020,Biophysical
119,WWF,Infrastructure Assessment in Snow Leopart Habitat of Nepal,2018,Biophysical
120,Thapa et al.,"A Multi-Dimensional Assessment of Ecosystems and Ecosystems Services in Taplejung, Nepal",2018,Socio-cultural
121,Upadhya et al.,"Socio-Economic Outcomes of Conservation Interventions in Kangchenjunga Conservation Area, Nepal",2018,Socio-cultural
122,Subedi et al.,Forest Carbon Assessment in Chitwan-Annapurna Landscape,2017,Socio-cultural
123,Chettri et al.,"A Multi-dimensional Assessment of Ecosystems and Ecosystem Services at Udayapur, Nepal",2017,"Socio-cultural, Monetary"
124,Subedee et al.,Indigenous and local knowledge of conservation and sustainable use of Himalayan Giant Nettle (Girardinia diversifolia [Link] Friis) in eastern and far-western regions of Nepal,2017,Socio-cultural
125,Getzner & Thapa,Preferences of international tourists for conserving ecosystem services at Langtang national park (Nepal),2015,Monetary
126,Lamichhane & Parajuli,How good is the governance status in community forestry A case study from midhills in Nepal. ,2014,Socio-cultural
127,Sharma et al.,"An Integrated Assessment of the Effects of Natural and Human Disturbances on a Wetland Ecosystem: A Retrospective from the Koshi Tappu Wildlife Reserve, Nepal - Research Report 2014/3, 2014",2014,"Socio-cultural, Monetary"
128,WWF,Chitwan Annapurna Landscape: Drivers of Deforestation and Forest Degradation,2013,"Socio-cultural, Biophysical"
129,Sharma et al.,"Biodiversity resource inventory : ecosystem assessment of Bhadaure Tamagi VDC, Kaski",2013,"Socio-cultural, Biophysical"
130,KC et al.,Economic valuation of ecosystem services in protected areas: A case study from Nepal,2013,Monetary
131,Pant et al.,Value of Forest Ecosystem Services: A Quantitative Estimation from the Kangchenjunga Landscape in Eastern Nepal,2012,Monetary
132,Bhattarai,Threats on grassland ecosystem services: a case from Shuklaphanta Wildlife Reserve,2012,Biophysical
133,WWF,"Common Ground: Solutions for reducing the human, economic and conservation costs of HWC",2008,Socio-cultural
134,Pokharel,"Nepal?s community forestry funds: Do they benefit the poor, 2008",2008,Monetary
135,Gnyawali,"A case study on interlinkages between conservation, livelihoods and good governance practices in Dolpa, Nepal",2007,Socio-cultural
136,WWF,"Status, Distribution and Conservation Threats of Ganges River Dolphins in Karnali River, Nepal",2006,"Biophysical, Socio-cultural"
137,Shrestha & Dhillion,Diversity and traditional knowledge concerning wild food species in a locally managed forest in Nepal,2006,Socio-cultural
138,Roy et al,"Protecting what's ours: Indigenous people's initiatives to biodiversity conservation In Nepal, 2004",2004,Socio-cultural
139,Saville and Acharya,"Beekeeping in Humla district West Nepal: A field study, 2001",2001,Socio-cultural
140,Khanal et al.,Farmers' responsibilization in payment for environmental services: Lessons from community forestry in Nepal,2020,Monetary
141,Sharma et al.,Whose river is it? An assessment of livelihood and cultural water flow requirements for the karnali basin,2020,"Biophysical, Socio-cultural"
142,Dhakal et al.,Forests for food security and livelihood sustainability: Policy problems and opportunities for small farmers in Nepal,2011,Monetary
