SN Ref (see previous sheet)],Indirect_Driver,Direct_Driver,Nature,NCP,NCP Category,Trend,TrendCount,Quote
4,NA,Pollution,Farmland,HAB,Regulating,Negative,1,"For example, some bird species populations’ reproductive cycles are affected by toxic exposure to DDT [leadning to their declines]"
4,NA,Climate Change,Farmland,FOD,Material,Negative,1,"Climate unpredictability affects planning, and during heavy rainfall riverbanks breach and erode, increasing river channel depth, water velocity downstream, and diverting watercourses. In severe cases (29%), arable land is washed away, becomes unproductive, or is abandoned. When the rainfall arrive late, staple crops have fewer growing days so at the end of the season, have lower yields, do not ripen, or produce less seed. "
4,Institutions and Governance,Directly to NCP,Freshwater,WQN,Regulating,Positive,1,"To improve equal access to water regulation and supply, local communities form Water User Associations (WUAs) which are responsible for building gabions, temporary check dams, bridges or concrete dikes, or installing boring pumps. These associations also form rules for water allocation, as well as regulate water velocity and silt load, divert river water, and maintain or improve irrigation infrastructure."
4,Demographic and Sociocultural,Land Use Change,Farmland,MED,Material,Negative,1,"The farmers gave diverse reasons for the disappearance of species. The crop species were socially less preferred food source, more labour intensive and less productive than major crops today"
4,Institutions and Governance,Land Use Change,Forest,HAB,Regulating,Positive,1,"Those living within 5 km from protected area boundaries, or who collect fodder and fuelwood, observe greater numbers of tigers, elephants, rhinoceros, blue cows, and spotted deers"
5,NA,Invasive Alien Species,Forest,MED,Material,Negative,1,"The farmers also mentioned that with the new crops, some nasty weed species had been introduced. The weed species were Nilo-gandhe (ageratum), banmara (lantana), kanike jhar (parthenium), and rakte jhar (phalaris-minor). Banmara was found everywhere, displacing the local herb species of titepati and gaitihare. "
5,NA,Invasive Alien Species,Forest,FOD,Material,Negative,1,Nilo-gandhe and kanike jhar became established in a maize field and suppressed the emergence of local grass species which were palatable and nutritious to livestock
5,Economic and Technological,Direct Exploitation,Forest,NA,NA,Positive,1,Increasing availability of biogas and electricity reduced the demand for firewood for household cooking and heating.
5,Institutions and Governance,Land Use Change,Forest,NA,NA,Positive,1,"This is illustrative of a general trend toward increased arable land abandonment from farming, and tree coverage in agricultural landscapes. "
5,Institutions and Governance,Land Use Change,Farmland,FOD,Material,Negative,1,"In response to a question of whether any livestock species had disappeared from the community, respondents of many communities pointed to sheep. The respondents from lower and mid altitude belts said that the cow had followed the disappearing path of sheep, horse and donkey."
5,NA,Pollution,Farmland,HAB,Regulating,Negative,1,Chemical fertilizers caused the decline in frogs
5,Institutions and Governance,Directly to NCP,Directly to NCP,HAB,Regulating,Negative,1,dung beetle decreased because of decrease in open grazing practices
5,NA,Direct Exploitation,Freshwater,WQN,Regulating,Negative,1,Now the streams become almost dry in winter and summer seasons as their sources of water (springs)were often diverted by pipe for household use.
5,Demographic and Sociocultural,Land Use Change,Farmland,MED,Material,Negative,0.5,"They cited the lowland rice case when their parents grew over seven varieties in a season, but theywere only growing a couple of exotic varieties at present.Most of the landraces had disappeared from these communities.
"
5,Economic and Technological,Land Use Change,Farmland,MED,Material,Negative,0.5,"They cited the lowland rice case when their parents grew over seven varieties in a season, but theywere only growing a couple of exotic varieties at present.Most of the landraces had disappeared from these communities.
"
5,NA,Land Use Change,Farmland,SOI,Regulating,Negative,1,"According to the farmers, rural road construction work resulted in huge loss of soil in their localities"
5,Economic and Technological,Directly to NCP,Directly to NCP,SOI,Regulating,Positive,1,"However, some farmers said some recent changes in farming practices had reduced soil loss. According to them, new crop varieties and modern vegetable farming practices enabled crop intensification which contributed to reducing soil work activities and the exposure period
of soil to erosion agents."
5,Demographic and Sociocultural,Directly to NCP,Directly to NCP,IDE,Non-Material,Negative,0.5,Some elderly people said that increasing population on riversides and growing use of chemicals in farms turned the river water from holy to profane. Many people had abandoned bathing by river water now.
5,NA,Pollution,Freshwater,IDE,Non-Material,Negative,0.5,Some elderly people said that increasing population on riversides and growing use of chemicals in farms turned the river water from holy to profane. Many people had abandoned bathing by river water now.
5,Institutions and Governance,Directly to NCP,Farmland,MED,Material,Negative,1,Development agencies focus on in-situ conservation. Their arguments are mostly limited to environment conservation purposes and not for providing seeds to farmers when they need them.
5,Institutions and Governance,Directly to NCP,Farmland,IDE,Non-Material,Negative,1,"Development agencies, however, had little concern for the indirect benefits of indigenous breeds and the circumstances of poor farmers, and they purposely introduced exotic breeds to meet their interests (show progress quickly) and values (exotic are better)."
5,Demographic and Sociocultural,Land Use Change,Farmland,IDE,Non-Material,Negative,1,"traditional seed selection practices disappeared with the declining of indigenous varieties.
Declining number of growers of indigenous varieties also reduced the chances of maintaining the gene diversity. The farmers said that ease of access to food from alternative sources and high labour costs also contributed to abandoning the traditional practices of soil formation. Traditional systems for rainwater harvesting for household purposes and farming were rarely found in practice"
6,NA,NA,Freshwater,WQL,Regulating,Negative,1,The survey information shows the watershed condition to be degrading due to the decreasing availability of watershed services in the past five years in the watershed community
7,Institutions and Governance,Directly to NCP,Directly to NCP,WQN,Regulating,Positive,1,Local NGOs with support from international donors built water tanks in the village and installed a tap in each household.
8,Institutions and Governance,Land Use Change,Forest,NA,NA,Positive,1,"From 1990 to 2015, the Chhabdi Khola and Guhe Khola watersheds showed an increase in overall forest cover and a decrease in percentage of agricultural lands."
9,Demographic and Sociocultural,Direct Exploitation,Forest,OPT,Non-Material,Positive,1,"As the local users of the study area strongly believe in reincarnation and saving for future generations, forest users may have prioritised bequest services for their children and grandchildren"
10,NA,Land Use Change,Forest,NA,NA,Negative,1,Forest and wetland have been replaced with extensive grasslands
10,NA,Land Use Change,Freshwater,NA,NA,Negative,1,Forest and wetland have been replaced with extensive grasslands
11,NA,Climate Change,Freshwater,WQN,Regulating,Negative,1,(need to find text)
12,Institutions and Governance,Land Use Change,Forest,NA,NA,Positive,1,Dense forests increased due to the conversion of sparse forests and agricultural land. All the three natural component changes were a result of community forestry practices.
12,Institutions and Governance,Land Use Change,Freshwater,NA,NA,Positive,1,"Similarly, wetlands increased by 113 ha (187%), water bodies by 59 ha (15%) in comparison with the area in 1975."
12,Institutions and Governance,Land Use Change,Grassland,NA,NA,Negative,1,"Grasslands were converted to sparse forests, which is why they decreased. Grasslands also were converted to agricultural land."
12,NA,NA,NA,WQL,Regulating,Positive,1,"the number of people consuming clean drinking water and taking advantage of recreation and ecotourism opportunities in lowland areas increased. In contrast, water sources in the upland area decreased, causing water scarcity among upland villagers."
12,NA,NA,NA,EXP,Non-Material,Positive,1,"the number of people consuming clean drinking water and taking advantage of recreation and ecotourism opportunities in lowland areas increased. In contrast, water sources in the upland area decreased, causing water scarcity among upland villagers."
12,NA,NA,NA,WQN,Regulating,Negative,1,"the number of people consuming clean drinking water and taking advantage of recreation and ecotourism opportunities in lowland areas increased. In contrast, water sources in the upland area decreased, causing water scarcity among upland villagers."
12,Institutions and Governance,Land Use Change,Forest,MAT,Material,Positive,1,"This has led to increased forests and thereby increase in access to fuelwood, fodder and NTFPs for subsistence"
12,Institutions and Governance,Land Use Change,Forest,NRG,Material,Positive,1,"This has led to increased forests and thereby increase in access to fuelwood, fodder and NTFPs for subsistence"
12,Institutions and Governance,Land Use Change,Forest,FOD,Material,Positive,1,"This has led to increased forests and thereby increase in access to fuelwood, fodder and NTFPs for subsistence"
12,Economic and Technological,Land Use Change,Forest,NRG,Material,Positive,1,"Although the wood supply situation had significantly increased, this study considered the situation that wood consumption especially firewood had been decreasing in the study area because of the growing use of liquefied petroleum gas and electricity."
12,Institutions and Governance,Directly to NCP,Directly to NCP,IDE,Non-Material,Positive,1,Quote: second recurring theme derived from the area was the sense of place and inspiration. People were proud to live in the area known for its international recognition as a Ramsar site.
12,Institutions and Governance,Directly to NCP,Directly to NCP,FOD,Material,Negative,1,"International policies ignored the need of local communities and focussed solely on international targets.This therefore created negative effects as the motivation for conserving the area by locals was lost.
This also restricted users to agricultural production for subsistence as well as for selling, and  infrastructure construction"
15,NA,NA,Farmland,NA,NA,Negative,1,"Forests were found to decrease by 94% in 2010, covering only 174 ha of its original state of 2916 ha whereas grassland with 1996 hectares in 1976 increased by 79% of its original state totaling to 9781 ha. Overall, forests, rivers, agriculture, sand/gravel and swamp/marshes decreased by 16%,14%, 7%, 5% and 4%, whereas grasslands increased by 45%. "
15,NA,NA,Forest,NRG,Material,Negative,1,"This means the major provisioning services, such as fuel wood, fodder, timber, medicinal plants, litter and edible plants; regulating services, such as erosion and flood control, pollination, habitat for species; recreation and aesthetic value under cultural services; and supporting services, such as biodiversity maintenance and soil formation, declined sharply."
15,NA,NA,Forest,FOD,Material,Negative,1,
15,NA,NA,Forest,MAT,Material,Negative,1,
15,NA,NA,Forest,MED,Material,Negative,1,
15,NA,NA,Forest,HAZ,Regulating,Negative,1,
15,NA,NA,Forest,POL,Regulating,Negative,1,
15,NA,NA,Forest,HAB,Regulating,Negative,1,
15,NA,NA,Forest,EXP,Non-Material,Negative,1,
15,NA,NA,Forest,SOI,Regulating,Negative,1,
15,NA,NA,Freshwater,FOD,Material,Negative,1," Similarly from swamps, food such as snails, fish, crabs, thatch, pater for mat weaving, and edible plants were impacted. Swamps were regarded as the highest service supplier, especially for regulating services such as ground water recharge, erosion control, water purification and habitat for species, which were found to decline"
15,NA,NA,Freshwater,MAT,Material,Negative,1,
15,NA,NA,Freshwater,WQN,Regulating,Negative,1,
15,NA,NA,Freshwater,HAZ,Regulating,Negative,1,
15,NA,NA,Freshwater,HAB,Regulating,Negative,1,
15,NA,NA,Freshwater,WQL,Regulating,Negative,1,
15,NA,NA,Grassland,NA,NA,Positive,1,"However, provisioning and regulating services from grasslands increased such as grass, thatch, litter, and habitat for species, water recharge and nutrient regulation."
15,Economic and Technological,Land Use Change,Forest,NA,NA,Positive,1,"The use of both fuel-efficient stoves and household biogas has been influential drivers in the reduction of forest loss in Nepal, and the adoption of both has consistently risen over the last 25 years."
16,Demographic and Sociocultural,Land Use Change,Forest,NA,NA,Positive,1,"Bachauli has not just ceased the rapid rate of forest loss that it experienced prior to 2005, but in the last decade it has
reversed it to a rate of significant regrowth. The opposite is true for Narayani. A clear difference was found between the overall attitudes of respondents toward forest conservation in Bachauli and Narayani, and itappears that attitudes between the areas of interest reflect forest cover trends—i.e., they are distinctly different, with
attitudes in Bachauli being more supportive of forest conservation."
16,Institutions and Governance,Land Use Change,Forest,NA,NA,Negative,1,"Household surveys mentioned that district forest officers and the political climate of Nepal influenced negative attitudes towards locals in conserving forests, which is why proper protection of forest was not possible and it led to degradation"
16,NA,Direct Exploitation,Forest,NA,NA,Negative,1,"Although Narayani has seen significant loss in total forest cover between 2005 and 2013, respondents did not view these trends as negative. After all, Narayani’s economy is agriculture-based, and hence land use may be prioritized for crops—not community forests. However, positive this might be for the people of Narayani, it raises a challenge for future forest conservation efforts in Nepal."
16,Demographic and Sociocultural,Land Use Change,Forest,SOI,Regulating,Positive,1,"Livestock of community that had net positive affects in forest was high. Therefore, they were more reliant on forest for fodder. Also, since they produce more animal waste, their use of biogas was more, and this can therefore reduce the stress on firewood"
16,Demographic and Sociocultural,Land Use Change,Forest,NA,NA,Negative,1,"Being wealthy and owning more livestock was shown to negatively affect attitudes in Bachauli, and poorer households were more supportive of forest conservation. In Narayani, the same was true for wealth—i.e., being wealthy was correlated with less-supportive attitudes toward forest conservation"
17,Institutions and Governance,Land Use Change,Forest,FOD,Material,Positive,1,"The CFUGs and farmers interviewed in both districts reported that since they took over the management of their community forest areas, it has become more dense. The District Forestry Officer (DFO) in Dolakha supported this view in the interview made with him.
Respondents in all the CFUGs in Dolakha reported that forests and the number of trees on their private farm land had increased.
The first was the increase in fodder trees along the field borders. In some locations, the density of trees along the field
borders of the many small plots was so high that it could be characterised as agroforestry farming systems
The second process leading to increasing tree cover on farm land was the increasing number of trees on marginal land on account of its low productivity, distance from the house, exposure to crop losses from wild animals and limited labour availability"
17,NA,Land Use Change,Forest,NA,NA,Positive,1,Wild animals consequently helped increase forest area since farmers abandoned agricultural land because of fear of wild animals
17,Institutions and Governance,Land Use Change,Forest,HAB,Regulating,Negative,1,"An increasing focus on carbon sequestration in CFUGs has been reported to raise the interest in planting a limited number of fast growing species. Such shift to a more deliberate carbon-focused forest management, i.e., specialising in pine, consequently means
giving less priority to slow growing tree species, bushes and herbs. This is likely to have direct negative impacts on forest biodiversity in general"
19,NA,Climate Change,Freshwater,WQN,Regulating,Negative,0.5,"A projected decrease in snow, ice and grasslands at high altitudes as a result of climate change and increasing pressure from grazing was considered likely at five (83%) of the six IBAs located in montane ecosystems, with serious implications for downstream water availability in both the short and long term."
19,NA,Direct Exploitation,Freshwater,WQN,Regulating,Negative,0.5,"A projected decrease in snow, ice and grasslands at high altitudes as a result of climate change and increasing pressure from grazing was considered likely at five (83%) of the six IBAs located in montane ecosystems, with serious implications for downstream water availability in both the short and long term."
19,NA,NA,NA,AIR,Regulating,Negative,1,"For example, a decline is projected in local climate and air quality regulation at all eight of the 25 sites where this service was identified as being currently important"
19,NA,NA,NA,CLI,Regulating,Negative,1,"For example, a decline is projected in local climate and air quality regulation at all eight of the 25 sites where this service was identified as being currently important"
19,Demographic and Sociocultural,Land Use Change,Forest,HAB,Regulating,Negative,0.33,"Human disturbance (100%), residential and commercial development (93%), uncontrolled fire (89%), unsustainable wood-harvesting (including logging, 85%), hunting and trapping of species (85%) and poorly managed water use (85%) were all considered to be common factors driving land-use change and affecting the habitat condition in IBAs,"
19,Economic and Technological,Land Use Change,Forest,HAB,Regulating,Negative,0.33,"Human disturbance (100%), residential and commercial development (93%), uncontrolled fire (89%), unsustainable wood-harvesting (including logging, 85%), hunting and trapping of species (85%) and poorly managed water use (85%) were all considered to be common factors driving land-use change and affecting the habitat condition in IBAs,"
19,NA,Direct Exploitation,Forest,HAB,Regulating,Negative,0.33,"Human disturbance (100%), residential and commercial development (93%), uncontrolled fire (89%), unsustainable wood-harvesting (including logging, 85%), hunting and trapping of species (85%) and poorly managed water use (85%) were all considered to be common factors driving land-use change and affecting the habitat condition in IBAs,"
19,Institutions and Governance,Direct Exploitation,Freshwater,HAB,Regulating,Negative,0.5,"Human disturbance (100%), residential and commercial development (93%), uncontrolled fire (89%), unsustainable wood-harvesting (including logging, 85%), hunting and trapping of species (85%) and poorly managed water use (85%) were all considered to be common factors driving land-use change and affecting the habitat condition in IBAs,"
19,NA,Direct Exploitation,Freshwater,HAB,Regulating,Negative,0.5,"Overfishing was reported as a pressure at 21 (78%) sites and expansion and intensification of agriculture and/or aquaculture was
reported as a pressure at 70% of sites and as one of the most significant drivers at one site."
19,NA,Land Use Change,Forest,NA,NA,Negative,1,"Participants judged that by 2020, if current trends continue, there would be a net conversion of forested land into cultivated land, resulting in a 29% reduction of forest cover and 30% increase in agriculture overall"
20,NA,Climate Change,Grassland,FOD,Material,Negative,1,Farmers claim that the grass gets dry earlier or alternatively that there is a reduction in growth of grasses due to the drought. (climate change)
20,Economic and Technological,Pollution,Freshwater,WQL,Regulating,Negative,1,"Our analysis also revealed that investment in the BWS is insufficient partly because of low revenue generation. Currently, the major revenue-generating activities are fishing and boating only."
20,Institutions and Governance,Direct Exploitation,Forest,HAZ,Regulating,Negative,1,participants of focus group discussions and also the key informant survey suggest that VDC plans are mostly focusing on infrastructure development. The district plans also fail in providing local adaptations in managing ecosystem services
21,NA,Climate Change,Farmland,FOD,Material,Negative,1,"For example, with prolonged drought, the incident of blight in potato is increasing. Similarly, with decrease in snowfall, caterpillar attack in Nepali alder (Alnus nepalensis) has increased"
21,NA,Pollution,Farmland,SOI,Regulating,Negative,1,"There are a number of reasons behind the decrease in production, both in agriculture and forest crops. These include (1) changes in rainfall patterns, (2) longer periods of drought, (3) decrease in soil moisture, (4) increased crop intensitywith increased use of chemical fertilizer and pesticides, and (5) consequential soil degradation."
21,NA,Direct Exploitation,Farmland,FOD,Material,Negative,1,"There are a number of reasons behind the decrease in production, both in agriculture and forest crops. These include (1) changes in rainfall patterns, (2) longer periods of drought, (3) decrease in soil moisture, (4) increased crop intensitywith increased use of chemical fertilizer and pesticides, and (5) consequential soil degradation."
21,NA,Invasive Alien Species,Farmland,FOD,Material,Negative,1,"Increases in temperature and decreases in snowfall increase the risk of pests and pathogen. Similarly, erratic rainfall and hailstorm destroys the crops and increase flood risks."
21,NA,Climate Change,Farmland,HAZ,Regulating,Negative,1,"Increases in temperature and decreases in snowfall increase the risk of pests and pathogen. Similarly, erratic rainfall and hailstorm destroys the crops and increase flood risks."
21,NA,Invasive Alien Species,Farmland,HAB,Regulating,Negative,1,restricting local community access to these new resources. The increasing spread of invasive weed species such as L. camara and Eupatorium reduce natural regeneration of local species
21,NA,Climate Change,Grassland,FOD,Material,Negative,1,Rearing of sheep and Himalayan goat has drastically declined in recent years because of decreasing availability of grass/pasture for rearing. Farmers claim that the grass gets dry earlier or alternatively that there is a reduction in growth of grasses due to the drought. 
22,Institutions and Governance,Pollution,Freshwater,WQL,Regulating,Negative,0.25,"According to the feasibility studies as well as interviews with key informants, three main threats to water quality were identified and traced to the land-use activities of the villages within the Park. These included: (a) the lack of human waste containment and open defecation to waterways; , and "
22,NA,Direct Exploitation,Freshwater,WQL,Regulating,Negative,0.25,(b) deforestation for energy needs as well as the production of liquour
22,NA,Pollution,Freshwater,WQL,Regulating,Negative,0.25,(c) the widespread use of chemical fertilizer contributing to perceived nutrient enrichment of waterways
22,NA,Land Use Change,Freshwater,WQL,Regulating,Negative,0.25,A fourth threat impacting water quality was haphazard illegal road or footpath construction and the associated risk of land subsidence that follows heavy rainfall events.
22,NA,Land Use Change,Others,HAZ,Regulating,Negative,1,A fourth threat impacting water quality was haphazard illegal road or footpath construction and the associated risk of land subsidence that follows heavy rainfall events.
22,Demographic and Sociocultural,Land Use Change,Farmland,NA,NA,Positive,1,"Within the park settlements, there exists a set of informal social institutions governing collective activity known as guthi. These are essentially social norms regarding collective management of private
land that takes on a combination of religious as well as altruistic aspects of labour and financial allocation. Regular meetings are held calling for neighbouring farmers to offer support to meet labour deficits of households in tilling, seeding, and harvesting primarily millet and maize, or avoiding soil loss and other damage associated with landslides. This suggest that land-use behaviour in these villages has
been built upon cooperation and reciprocity rather than according to purely isolated household decisions."
23,Institutions and Governance,Land Use Change,Forest,HAB,Regulating,Positive,1,"The analysis of repeat photography, field observations and respondent opinions indicated that the forest area in the study region increased by 1149 ha (7.2%) between 1990 and 2013. Most of the agricultural lands and grasslands have changed to low-density forests"
23,Institutions and Governance,Land Use Change,Farmland,NA,NA,Negative,1,Most of the agricultural lands and grasslands have changed to low-density forests
23,Institutions and Governance,Land Use Change,Grassland,NA,NA,Negative,1,Most of the agricultural lands and grasslands have changed to low-density forests
25,Economic and Technological,Directly to NCP,Directly to NCP,FOD,Material,Negative,0.5,"53% of participants say maintaining traditional agro-pastoral livelihoods is getting harder. 67% blame demographic and economic factors (increased tourist demand, reduction of Sherpa workforce); 21% blame intensification of production factors (chemical fertilizers, new seed types, irrigation, greenhouses)"
25,NA,Pollution,Grassland,FOD,Material,Negative,0.5,"53% of participants say maintaining traditional agro-pastoral livelihoods is getting harder. 67% blame demographic and economic factors (increased tourist demand, reduction of Sherpa workforce); 21% blame intensification of production factors (chemical fertilizers, new seed types, irrigation, greenhouses)"
25,NA,Climate Change,Freshwater,WQL,Regulating,Negative,1,"Before, it used to snow to a height of 4 feet or more, nowadays, a heavy snow is 1.5 feet on the ground. This has been occurring over the last 4 – 5 years. Due to less snow, the amount of water is much less."
25,NA,Climate Change,Farmland,FOD,Material,Negative,1,Today there are more landslides because of the heavy monsoon rains. It’s affecting farming as there is an increase in sand and this affects the productivity.
25,Economic and Technological,Directly to NCP,Directly to NCP,IDE,Non-Material,Negative,1,"When I look at these photos, we have lost so much, everything has changed. Before, we had small houses and no airports. Now with tourism and becoming famous, and having more sources of earning, everything has a price in today’s life, even stone and sand … Many people from the lowlands are coming in but they don’t follow the cultural traditions.We are losing our culture and language"
27,Institutions and Governance,Direct Exploitation,Grassland,NA,NA,Negative,1,"In the absence of authority, Nepal’s rangelands were viewed as CPR (Common Pool Resources) and their open access status resulted in excessive overuse.
lack of clearly defined national and local rangeland policies has created insecurity among villagers about the availability of sufficient forage to meet their needs"
28,NA,Direct Exploitation,Forest,NA,NA,Negative,1,"3 reasons:
1 - Since most fields are located in steep slopes, they suffer from rapid soil erosion and nutrient depletion, which is why farmers have to find new land to meet their food needs
2 - Settlements in upland area are located in poor quality land, which is why locals resort to forets for sources of food resulting in their degradation and conversion
3 - Community forests have positive influence in lowland areas. The same process was not possible at higher elevations (highland) both because of the inability of community-based forest management programs to cover those areas and the virtual non-existence of forest monitoring by the forestry department"
28,NA,NA,Farmland,NA,NA,Positive,1,See above
28,NA,Land Use Change,Farmland,SOI,Regulating,Negative,1,"Analysis of the results showed that an absolute majority of total soil loss is associated with upland land use types, particularly upland agriculture in areas of steep slope which contributes about 88%."
28,Institutions and Governance,Land Use Change,Forest,NA,NA,Positive,0.5,"substantial proportion of degraded forests (scrubland) in the lowlands were reclassified as forest due to improvements in condition, especially in the first study period (1976–1990). This improvement may have been due to the success of community forestry programs in lower elevation areas, as well as the proximity of roads and market centres and subsequent increase in accessibility."
28,NA,Land Use Change,Forest,NA,NA,Positive,0.5,"substantial proportion of degraded forests (scrubland) in the lowlands were reclassified as forest due to improvements in condition, especially in the first study period (1976–1990). This improvement may have been due to the success of community forestry programs in lower elevation areas, as well as the proximity of roads and market centres and subsequent increase in accessibility."
29,NA,Pollution,Freshwater,WQL,Regulating,Negative,1,"40% of farmers use chemical fertilizers. In Khetland and Bariland Urea is being used. Some resource-rich farmers use diammonium phosphate in their paddy fields, and overall the use of inorganic fertilizers is increasing. Of course, much of the fertiliser used on the slopes around the lake will wind up in the water and contribute to eutrophication"
29,NA,Invasive Alien Species,Freshwater,WQL,Regulating,Negative,1,"Populations of large fish, both native and introduced contribute to nutrient loading. Unusually high plant growth and a major population of large fish (some introduced) contribute to a greater biological load. The breakdown of this organic waste increases the biological oxygen demand."
29,NA,Land Use Change,Freshwater,WQL,Regulating,Negative,1,The construction of a road nearby has caused heavy erosion and mudflows have been observed along it.
30,Demographic and Sociocultural,Direct Exploitation,Forest,NA,NA,Negative,1,"The growth of the nearby district capital has also increased the demand for timber and bricks, which require large amounts of fuelwood for their production. These new demands have had a profound effect by reducing farm tree populations."
30,Demographic and Sociocultural,Land Use Change,Forest,NA,NA,Negative,1,"The number of tree species per hectare was highest for farmers whose farms were little fragmented (Table 6). In Nepal, land fragmentation traditionally results mainly from family partitioning and leads to decreasing plot size. These small plots oblige farmers to select small sized trees. Big trees occupy much space and increase conflicts with neighbors whose plots are affected by shade."
30,Demographic and Sociocultural,Directly to NCP,Directly to NCP,MED,Material,Positive,1,Our finding that farming systems in Nepal maintain significant numbers of tree species was corroborated by other studies in this and other ecoregions. for small farmers the maintenance of diversified tree cover within a small farm area is an element of their livelihood strategy.
30,NA,Land Use Change,Forest,NA,NA,Positive,1,"Farm trees have also helped to preserve nearby natural forests by reducing pressure on various forest products such as timber, fodder and fuelwood."
30,NA,Land Use Change,Forest,HAB,Regulating,Positive,1,"farm trees provide habitat for many plant and animal species that do not occur in pure agricultural or forest land; for example, farmers reported that common myna (Acridotheres tristis), a bird species, is found near settlements and nests in farm trees."
31,NA,Climate Change,Freshwater,WQN,Regulating,Negative,1,"based in the survey, water available for agricultural use is insufficient and furthermore stream-flow is decreasing. As a consequence, agricultural production is decreasing while cultivable land remains barren"
31,NA,Climate Change,Farmland,FOD,Material,Negative,1,"based in the survey, water available for agricultural use is insufficient and furthermore stream-flow is decreasing. As a consequence, agricultural production is decreasing while cultivable land remains barren"
32,Institutions and Governance,Directly to NCP,Directly to NCP,WQL,Regulating,Positive,1,"An important consideration is whether the activities proposed (toilet construction, reduction in open grazing, changes in the use of pesticides and fertilizers and control of run-off into water streams) would be adequate to change the quantity or quality of drinking water. Our literature review, available watershed management plans and discussions with experts indicate that the proposed upstream changes would contribute to better ecosystem conditions and services."
33,NA,Direct Exploitation,Farmland,SOI,Regulating,Negative,1,Soil erosion will in turn lead to a decrease in water quality and is mentioned in the netxt row
33,NA,Direct Exploitation,Freshwater,WQL,Regulating,Negative,1,Soil erosion will in turn lead to a decrease in water quality and is mentioned in the netxt row
34,Demographic and Sociocultural,Direct Exploitation,Forest,NA,NA,Positive,1,"Communities in Kalapani CFUG and other CFUGs have a strong traditional belief in “rakauna” meaning “the need to preserve”. Under “rakauna” communities usually preserve a patch of forest area, used only during religious ceremonies while strictly protected at all other times. Over the years, communities experienced deforestation and decrease in forest quality in forests around the
LBA, while good forest regeneration was seen in lands set aside as “rakauna”."
34,Economic and Technological,Land Use Change,Forest,NA,NA,Positive,1,Successful biogas alternatives to fuelwood with a subsidy from state and conservation partners is reflected through the reduced pressure on forest
34,Economic and Technological,Land Use Change,Freshwater,WQL,Regulating,Positive,1,Climate change adaptation measures such as slope stabilization through bioengineering measures were implemented in the catchment to control possible sedimentation in the water sources.
35,Economic and Technological,Directly to NCP,Directly to NCP,MED,Material,Negative,1,"although the farm-gate price for maize and finger millet is identical, the unit production costs are much higher for the latter, as a result of its relatively lower yields. Such differences in net margins help to explain the decline in finger millet areas in the two municipalities with higher opportunity costs of finger millet cultivation"
36,Demographic and Sociocultural,Land Use Change,Farmland,FOD,Material,Negative,1,"Lack of labour has led to fallow lands of previously agricultural lands. Also, yields from active fields decrease as a result of reduced nutrient and biomass input"
