SN Ref,Ecosystem,NCP,NCP_short,SDG,Effect,Quote,Remarks from text,
SN 10,Freshwater,Food and feed,FOD,2.1,Positive,"Provision of fish for nutrition was the highest scored service overall with other wild foods also being very important for most stakeholders. Because stakeholders also considered the Buffer Zone area, where predominantly rice is grown, cultivated goods were scored highly.",,
SN 10,Freshwater,Habitat creation and maintenance,HAB,15.5,Positive,"Habitats for species, nature-based recreation and knowledge ranked highest of the supporting and cultural services with local climate regulation being considered more important than carbon storage
","The reserve provides habitat for a lot of threatened species, is also associated with cultural values, and is demonstrated by the fact that is is listed as an IBA and Ramsar site.
Education benefits are listed in below points",
SN 10,Freshwater,Physical and psychological experiences,EXP,8.9,Positive,,,
SN 10,Freshwater,Learning and inspiration,INS,4.7,Positive,,,
SN 10,Freshwater,Supporting identities,IDE,NA,Positive,The Malaha community attach cultural value and meaning to the practice of fishing which may be significantly more important as a contributor to multi-dimensional wellbeing than the material benefits that the resource provides,,
SN 12,Forest,Energy,NRG,8.5,Positive,"Wood (e.g., timber and firewood) is the main forest good for local livelihoods and market products provided by community-managed forests in the watershed. Wood can be used to generate revenue and employment.","Work opportunities by forest ecosystems, and thereby reduction in poverty",
SN 12,Forest,"Materials, companionship and labor",MAT,1.1,Positive,,,Community Forest
SN 12,Forest,Energy,NRG,8.5,Positive,,,
SN 12,Forest,"Materials, companionship and labor",MAT,1.1,Positive,,,
SN 12,Freshwater,Physical and psychological experiences,EXP,8.9,Positive,"Most of the watershed is a highly favoured destination for recreation and ecotourism due to the lake views and the unique geographical setting of the watershed which provides extensive views of the Himalayas. These services clustered around the mountain ridges, roadsides and Phewa Lake and its surroundings, due to the concentration of these recreational attributes.",Natural component provides opportunity for tourism,
SN 12,Freshwater,Physical and psychological experiences,EXP,8.9,Positive,,,
SN 12,Forest,"Regulation of freshwater quantity, location and timing",WQN,2.1,Positive,Groundwater recharge increased and the amount of dry season flow that provided additional water for hydropower and irrigation in the dry season improved. ,"Although water flow has decreased to a certain degree, attributed by evaoptranspiration by increased forests, dry season flow has improved due to increased groundwater recharge.",
SN 12,Forest,"Regulation of freshwater quantity, location and timing",WQN,7.2,Positive,Groundwater recharge increased and the amount of dry season flow that provided additional water for hydropower and irrigation in the dry season improved. ,,
SN 12,Forest,"Formation, protection and decontamination of soils and sediments",SOI,15.3,Positive,The potential supply of raw materials has been reduced because of increasing priority placed on of habitat provision for biodiversity conservation which has had a positive impact on sediment retention and water quality.,Sediment retention can assist in landslide control ,
SN 13,Freshwater,Supporting identities,IDE,NA,Positive,The spiritual values associated with the holy pond were the most important service mentioned during the interviews,"Festivals occuring in the pond, worships during marriage and birth, seek blessings from landslides, hailstorms etc. Culture fully engraved in the pond",
SN 13,Freshwater,Supporting identities,IDE,NA,Positive,"The [traditional] rituals [such as dances and festivals] were linked to the holy pond where worship was seen to improve rhythm and melody. Some also appreciated the cultural diversity of the area with diverse ethnic, and nonethnic communities and their traditions.",Cultures were celebrated in and around Maipokhari pond,
SN 13,Freshwater,Physical and psychological experiences,EXP,8.9,Positive,"Tourism and recreation were particularly valued by the local business owners running hotels and shops. The opportunities for tourism and recreation were considered to be important cultural services sustained by local ecosystems. The participants valued the features that attracted religious visitors, as well as occasional trekkers, bird watchers and picnickers.",,
SN 13,Freshwater,Learning and inspiration,INS,4.7,Positive,"National and international research activities were focused on biodiversity assessment, bird watching, and a geological survey of the pond. Educational activities also included forest and wetland management, and community empowerment through capacity building in areas such
as goat farming or sewing to support local livelihoods.",,
SN 14,Forest,Habitat creation and maintenance,HAB,7.1,Positive,"Plant diversity was significantly positively correlated with fuelwood, suggesting forest user groups get this resource mostly from diverse CFs.",the community forests that supported higher plant diversity was found to have positive correlations with avaiability of fuelwood,
SN 15,Forest,Energy,NRG,7.1,Positive,"Fuelwood was ranked on the top assuming that about 91% of households use fuelwood for cooking, followed by thatch assumed to be collected by 82% for roofing, timber by 54%, grass by 51%",,
SN 15,Forest,"Materials, companionship and labor",MAT,9.1,Positive,"Fuelwood was ranked on the top assuming that about 91% of households use fuelwood for cooking, followed by thatch assumed to be collected by 82% for roofing, timber by 54%, grass by 51%","This shows that fuelwood is highly valued, since most of the population use it for cooking",
SN 15,Forest,"Materials, companionship and labor",MAT,9.1,Positive,"Fuelwood was ranked on the top assuming that about 91% of households use fuelwood for cooking, followed by thatch assumed to be collected by 82% for roofing, timber by 54%, grass by 51%",,
SN 15,Forest,"Materials, companionship and labor",MAT,9.1,Positive,"Fuelwood was ranked on the top assuming that about 91% of households use fuelwood for cooking, followed by thatch assumed to be collected by 82% for roofing, timber by 54%, grass by 51%",,
SN 15,Forest,Energy,NRG,1.1,Positive,"About 50.75% of the total households, identified using Eq. (1) (Section 3.3), were found to directly gain their income from ecosystem services of the reserve.",All of these are derived from a table that descibed what kind of economic benefits are being drawn by local people in the koshi wildlife reserve through ecosystem services,
SN 15,Forest,"Materials, companionship and labor",MAT,1.1,Positive,,,
SN 15,Forest,"Medicinal, biochemical and genetic resources",MED,1.1,Positive,,,
SN 15,Freshwater,Food and feed,FOD,1.1,Positive,,,
SN 16,Forest,Habitat creation and maintenance,HAB,15.5,Positive,"For example, in Narayani, community forests reportedly provide habitat for CNP wildlife such as the one-horned rhinoceros, which lives and breeds in forests along the Narayani River.",,
SN 16,Forest,Habitat creation and maintenance,HAB,2.1,Positive,"Without forests, rhinos and other CNP wildlife may feed and take refuge in croplands. Perhaps for this reason, farming households that own land and livestock might value forest conservation more than households that do not.",Forests protect farmlands from being raided by wild animals. Also shows how community perception of protection depends on whether they are farmers or not,
SN 16,Forest,Food and feed,FOD,2.1,Positive,"These results suggest that households with more livestock in Bachauli, and households with agricultural lands in Narayani, are both reliant on forests in their community to support their livelihoods.",Farmers with livestock depended more on community forests (because of fodder) than non-farmers,
SN 16,Forest,Physical and psychological experiences,EXP,8.9,Positive,"There is also a consensus in both Bachauli and Narayani that forests support ecotourism. Forests provide habitat for CNP’s endangered wildlife, which is primarily what attracts tourists to the area, as well as aesthetics and shade for lodging facilities and picnic areas",,
SN 16,Forest,Physical and psychological experiences,EXP,8.9,Positive,,,
SN 17,Forest,Food and feed,FOD,2.4,Positive,"The broadleaf trees are used for animal browse and bedding (dried leaves) whereas pine is more commonly used for firewood and timber for construction and selling. The tropical species from
Chitwan particularly sal provides good quality construction timber and households also collect fuel wood and fodder from both the community forests and leasehold forests",,
SN 17,Forest,Energy,NRG,7.1,Positive,,,
SN 17,Forest,"Materials, companionship and labor",MAT,1.1,Positive,,,
SN 17,Forest,"Materials, companionship and labor",MAT,9.1,Positive,,,
SN 17,Forest,"Materials, companionship and labor",MAT,9.1,Positive,See above,,
SN 17,Forest,Regulation of detrimental organisms and biological processes,ORG,2.1,Negative,"The second process leading to increasing tree cover on farm land was the increasing number of trees on marginal land on account of its low productivity, distance from the house, exposure to crop losses from wild animals and limited labour availability",Wild animals consequently helped increase forest area since farmers abandoned agricultural land because of fear of wild animals,
SN 17,Forest,Food and feed,FOD,1.1,Positive,"Under leasehold forest rules, farmers are not allowed to cut living trees for timber but can harvest branches and browse as fodder and cultivate certain cash crops including fruits trees, broom grass and ginger",Selling of wild plants for alternative livelihood,
SN 17,Forest,Food and feed,FOD,2.4,Positive,,Branches and browse for fodder,
SN 17,Forest,"Formation, protection and decontamination of soils and sediments",SOI,2.1,Positive,"Continued from previous - Increase in stall feeding has led to increase in manure application to the field, thereby increasing crop productivity","CF decreasing livestock, but increasing manure application in the field",
SN 17,Forest,"Materials, companionship and labor",MAT,1.1,Positive,"In Dolakha, the CFUGs and specialised groups within the CFUGs obtained income from non-timber forest products (NTPFs) including cardamom, argeli and loktah (both used for paper making), resin (from pine tree used for extraction of rosin and turpentine), herbs (for essential oil extraction), medical plants and bamboo for baskets",,
SN 17,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,7.2,Positive,"In the community forest managed by the CFUGDo: 11, a micro hydro power plant was established by the Village Development Committee which provides electricity to villagers",Clean energy through hydropower from rivers,
SN 17,Forest,Regulation of climate,CLI,13.2,Positive,"From a regulatory ecosystem service perspective, the trees in the landscape can be seen as sinks of sequestrated carbon and this was frequently noted by informants, particularly those part of the REDD+ pilot project",Carbon sequestration contributing to climate action,
SN 17,Forest,Supporting identities,IDE,NA,Positive,"In Dolakha, some of the CFUGs in Dolakha host temples and monasteries within their community
forests ) and they maintain paths and some facilities for visitors",,
SN 17,Forest,Physical and psychological experiences,EXP,1.1,Positive,In Chitwan the largest CFUG interviewed (CFUG-Ch:13) had invested heavily in a picnic spot that now provides the largest income source for the CFUG,,
SN 17,Forest,Physical and psychological experiences,EXP,8.9,Positive,,,
SN 17,Agroforest,"Formation, protection and decontamination of soils and sediments",SOI,15.3,Positive,The combination of trees on farm land and forest fodder and browse provision is gradually building up the soil fertility which in turn is improving crop production. The key role of livestock in linking agricultural and forestry land uses should be emphasised.,Agroforestry: Nutrient flow from fodder to livestock to manure is bringing multiple benefits to the community,
SN 17,Agroforest,"Formation, protection and decontamination of soils and sediments",SOI,2.4,Positive,The combination of trees on farm land and forest fodder and browse provision is gradually building up the soil fertility which in turn is improving crop production. The key role of livestock in linking agricultural and forestry land uses should be emphasised.,Agroforestry: Nutrient flow from fodder to livestock to manure is bringing multiple benefits to the community,
SN 17,Agroforest,Food and feed,FOD,2.4,Positive,The combination of trees on farm land and forest fodder and browse provision is gradually building up the soil fertility which in turn is improving crop production. The key role of livestock in linking agricultural and forestry land uses should be emphasised.,,
SN 19,Others,Physical and psychological experiences,EXP,1.1,Positive,"An important finding is that not all stakeholders are affected equally. For national level stakeholders this study shows that across the IBAs (Important Bird Areas) there is expected to be a net benefit overall, mostly as a result of increased nature-based tourism, providing income for tour operators and companies that predominantly operate from Kathmandu and other large cities, thus providing limited benefit to local communities","This shows that some benefits are only for non-local, wealthier users, whereas for locals, they cannot take in benefits of tourism",
SN 19,Others,"Regulation of freshwater quantity, location and timing",WQN,6.1,Positive,"water provision (regulated supply of water by ecosystems to users as and when required, including
minimizing flooding during the wet season and maintaining supply during the dry season) is delivered at all the IBAs and was identified as the most important service provided at 24 (89%) sites",The second list of targets are because of protection from floods,
SN 19,Others,Regulation of hazards and extreme events,HAZ,"1.5, 11.5, 13.1",Positive,,,
SN 19,Others,Energy,NRG,7.1,Positive,"Harvested wild goods (including food, fibre, natural medicines and fuelwood for cooking and heating), tourism and recreation, and global climate regulation were recorded at .90% of sites and were among the five most important services",,
SN 19,Others,Regulation of climate,CLI,13.2,Positive,,,
SN 19,Others,"Medicinal, biochemical and genetic resources",MED,3,Positive,,,
SN 20,Freshwater,Food and feed,FOD,2.1,Positive,"According to Begnas Fisheries Entrepreneur Association (BFEA), there are 42 Jalari households primarily dependent on fishing for their livelihood. Fishing turned out to be the major source of livelihood for Jalari community in Begnas watershed.",Fishing for selling as well as consumption,
SN 20,Freshwater,Food and feed,FOD,1.1,Positive,"According to Begnas Fisheries Entrepreneur Association (BFEA), there are 42 Jalari households primarily dependent on fishing for their livelihood. Fishing turned out to be the major source of livelihood for Jalari community in Begnas watershed.",Fishing for selling as well as consumption,
SN 20,Forest,Energy,NRG,7.1,Positive,"Similarly, the survey showed that about 60%of households
used fuel-wood for cooking and other purposes.",,
SN 20,Freshwater,Physical and psychological experiences,EXP,1.1,Positive,"However, through consultations with hotel associations, boating association, tour operator and other tourism entrepreneurs, we discovered that about 26 foreigners and 62 domestic visitors visit Begnas Lake per day. Boating is one of the major sources of tourist attraction of
Begnas Lake and a source of income for local people.",,
SN 20,Freshwater,Physical and psychological experiences,EXP,8.9,Positive,,,
SN 20,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,2.1,Positive,"The Begnas Irrigation System (BIS) is the main source of irrigation. Farmers mostly use water for irrigating paddy fields, wheat, and vegetables.",,
SN 20,Freshwater,Regulation of climate,CLI,13.2,Positive,The study also estimated annual carbon sequestration of both wetland and forest land ofBWS (Table 7). The wetland stored nearly three times higher carbon than the forest ecosystem (Baral et al. 2016). Schima,,
SN 20,Farmland,Food and feed,FOD,2.1,Positive,"Agriculture is the main source of income with about 67% of the population directly involved, followed by small scale enterprises and businesses.",,
SN 21,Forest,"Materials, companionship and labor",MAT,1.1,Positive,"Besides agriculture, nontimber forest products (with possible added value through processing) are an important form of natural resource use (DFO 2012). Production of Nepali handmade paper and aromatic and essential oils are major forest-based enterprises providing additional income to local communities.",,
SN 21,Forest,"Regulation of freshwater quantity, location and timing",WQN,6.1,Negative,"Many of the water springs within pine forests are now dry. Local communities perceived that pine trees absorb a lot of water, reducing the underground water level. Additionally, they mention the effects of increased surface water runoff because of the understory of pine needles. Other studies on this topic in forests in Nepal suggest that planted pine forest has a greater evapotranspiration rate than natural forest or degraded land and that this could be the reason for drying water
resources in the middle hills in Nepal",,
SN 22,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,7.2,Positive,"The hydrological services of the catchment largely accrue to hydropower generation, irrigation for rural agriculture in and around Kathmandu Valley, and urban consumption of drinking water by city residents.",,
SN 22,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,2.1,Positive,,,
SN 22,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,6.1,Positive,,,
SN 22,Forest,Energy,NRG,7.1,Positive,"In addition to downstream hydrological benefits, over 400 households from three villages located within the park benefit from resources such as timber, fuelwood, and fodder to fulfil basic needs ranging from shelter, energy for cooking and heating, and food sovereignty.",,
SN 22,Forest,"Materials, companionship and labor",MAT,9.1,Positive,,,
SN 22,Forest,Food and feed,FOD,2.1,Positive,,,
SN 23,Farmland,Food and feed,FOD,2.1,Positive,"Provision of food grains from agricultural lands;provisionof berries, wildfruits,mushrooms, and support of honey production by forests",,
SN 23,Forest,Food and feed,FOD,2.1,Positive,"the poorest members prioritised food production, such as mushrooms and various types of fruits. 
Poorer members of the communities assigned higher priority to the supply of forage and food for their subsistence livelihoods",Subsistence livelihood families tended to prioritize provisioning services more than others,
SN 23,Forest,Regulation of air quality,AIR,3.9,Positive," Forest cover has increased, providing fresh oxygen and absorbing air pollutants. Trees provide fresh oxygen and also absorb dust particles/toxins from atmosphere",,
SN 23,Forest,Energy,NRG,7.1,Positive,"Among the CFUG members, different interest groups had different views on the priority ES. For example, female CFUG members assigned priority to firewood for domestic consumption",Women prioritized fuelwood more because they were responsible for cooking and collecting fuelwood,
SN 23,Forest,"Materials, companionship and labor",MAT,9.1,Positive,whereas men assigned higher priority to timber production for household construction or income,,
SN 23,Forest,"Materials, companionship and labor",MAT,1.1,Positive,whereas men assigned higher priority to timber production for household construction or income,,
SN 23,Forest,Regulation of climate,CLI,13.2,Positive,Local people perceive the potential source of income and a means for reducing climate change impacts as reasons for the high priorities of carbon sequestration and biodiversity.,Locals have undersood the value of trees towards carbon sequestration?,
SN 23,Forest,"Regulation of freshwater quantity, location and timing",WQN,6.4,Positive,"Many respondents suggested that the increase in forest cover has significantly enhanced the infiltration capacity of the land and, consequently, freshwater flow has increased, sedimentation has decreased and the quality and quantity of water for irrigation and hydropower consumers downstream has increased.",,
SN 23,Forest,Regulation of freshwater and coastal water quality,WQL,7.2,Positive,,Increase in water quality has made hydropower projects feasible,
SN 23,Forest,"Regulation of freshwater quantity, location and timing",WQN,7.1,Positive,,,
SN 23,Forest,Physical and psychological experiences,EXP,8.9,Positive,"According to the respondents, the influx of visitors to the landscape for ecotourism has increased in the past few years. It was assumed that this increase was a result of the increased aesthetic and recreational values of the landscape as provided by the increased forest cover and improved forest conditions",1.1 because this has increased villagers source of income through economic activity in villages brought by tourism,
SN 25,Forest,Energy,NRG,7.1,Positive,SNPBZ is a major wood provider. We define services from the forests as fuel wood,,
SN 25,Forest,"Materials, companionship and labor",MAT,9.1,Positive,The forests of SNPBZ provide raw materials for building use,,
SN 25,Forest,"Materials, companionship and labor",MAT,1.1,Positive,We define non-timber services as wild plants harvested for consumption and for sale.,,
SN 25,Others,"Regulation of freshwater quantity, location and timing",WQN,6.1,Positive,"Fresh water is consumed for drinking and sanitation, and used to produce food and energy and to recharge reservoirs. Its aesthetic and spiritual values are also appreciated.",,
SN 25,Others,Regulation of freshwater and coastal water quality,WQL,6.1,Positive,"Mountain biodiversity (e.g. plants, soil) prevents deterioration of water and supports rehabilitation of water sources.",,
SN 25,Others,Regulation of hazards and extreme events,HAZ,"1.5, 11.5, 13.1",Positive,Mountains regulate water flow by storing water and modulating the run-off regime and ground water seepage.,,
SN 25,Others,Physical and psychological experiences,EXP,8.9,Positive,"Mt Everest is such a tourist focal point, we consider it an ES in itself. Scenic beauty, ruggedness and tranquillity are the main reasons for visiting SNPBZ (HKKH 2010). Tourism is the most important source of earning for Sherpa people.",,
SN 25,Others,Physical and psychological experiences,EXP,1.1,Positive,,,
SN 25,Others,Physical and psychological experiences,EXP,8.5,Positive,,,
SN 25,Others,Supporting identities,IDE,NA,Positive,"SNPBZ is a Beyul, a Sherpa sacred place and a place of pilgrimage and religious tourism. There are many sites of archaeological and vernacular interest.",,
SN 27,Grassland,Food and feed,FOD,2.4,Positive,"The Chhoser VDC has both summer and winter grazing pastures, while the Chhunup VDC has limited summer and winter pasture. Therefore, the people of Chhunup are fully dependent upon the summer pasture for livestock grazing.",,
SN 27,Grassland,Energy,NRG,7.2,Positive,"Residents in these VDCs use livestock dung, grasses, and shrubs for cooking and heating, as there is limited woody vegetation in the area and they generally lack fuelwood. The residents of Chhoser VDC used to collect livestock dung from the disputed area throughout the year.",,
SN 28,Forest,"Formation, protection and decontamination of soils and sediments",SOI,15.3,Positive,"As can be seen from this table, the average soil loss from forest and its contribution to total soil loss across the watershed is much less when compared with that from agricultural land.",Agriculture had the highest soil loss while forest had the lowest,
SN 29,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,6.1,Positive,"The lake is a source of water for drinking, washing, livestock feeding and irrigation, and many living around the lake depend upon the resources that it provides (Udas et al. 2006).",,
SN 29,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,2.4,Positive,"The majority of farmers have some form of irrigation. Most Khetlands of the villages are irrigated by kulo, a local method. The majority of irrigation systems are community managed",,
SN 29,Freshwater,Habitat creation and maintenance,HAB,2.4,Positive,"The lake is a source of water for drinking, washing, livestock feeding and irrigation, and many living around the lake depend upon the resources that it provides (Udas et al. 2006).
The majority of farmers have some form of irrigation. Most Khetlands of the villages are irrigated by kulo, a local method. The majority of irrigation systems are community managed",,
SN 29,Freshwater,Supporting identities,IDE,NA,Positive,Rupa is home to the endangered White Lotus which is highly regarded as a spiritual symbol and as medicine,"Here, only for the medicine part, spiritual part is covered down.",
SN 29,Freshwater,"Medicinal, biochemical and genetic resources",MED,3,Positive,,,
SN 29,Freshwater,Food and feed,FOD,1.1,Positive,Wild Rice grows in and around Rupa Lake. This plant provides important habitat and a good source of food/income.,,
SN 29,Freshwater,Food and feed,FOD,2.1,Positive,Wild Rice grows in and around Rupa Lake. This plant provides important habitat and a good source of food/income.,,
SN 29,Freshwater,Habitat creation and maintenance,HAB,15.5,Positive,Wild Rice grows in and around Rupa Lake. This plant provides important habitat and a good source of food/income.,,
SN 29,Freshwater,Physical and psychological experiences,EXP,8.9,Positive,"2000–3000 internal tourists visit the lake each year, along with 400–500 foreigners. The annual Rupa Festival attracts thousands more visitors.",,
SN 29,Freshwater,Food and feed,FOD,1.1,Positive,200–300 kg of fish caught per day and taken to market. Fishing on the lake also serves 345 households (Stratford 2007). Fish are a major source of food for the area and provide the second greatest income after arable farming.,,
SN 29,Freshwater,Food and feed,FOD,2.1,Positive,,,
